department,jabatan,count
ACCOUNT,ADMIN MARKETPLACE,1
ACCOUNT,CUSTOMER RELATION OFFICER,1
ACCOUNT,CUSTOMER RELATIONS OFFICER,3
ACCOUNT,HEAD OF ACCOUNT,1
ACCOUNT,LEADER CUSTOMER RELATIONS OFFICER,1
ACCOUNT,MEDIOR CUSTOMER RELATION OFFICER,2
ACCOUNT,MEDIOR CUSTOMER RELATIONS OFFICER,1
ADVERTISER,ADVERTISER,1
ADVERTISER,ADVERTISER (SOCIAL MEDIA),1
ADVERTISER,MARKETPLACE ADVERTISER,1
ADVERTISER,SENIOR ADVERTISER,2
BUSINESS DEVELOPMENT,PUBLIC RELATION,1
BUSINESS DEVELOPMENT,SEO CONTENT WRITER,1
CREATIVE,ASSISTANT VIDEOGRAPHER,1
CREATIVE,GRAPHIC DESIGNER,1
CREATIVE,SENIOR VIDEOGRAPHER,1
CREATIVE,VIDEOGRAPHER,2
CREATIVE - EKSTERNAL,GRAPHIC DESIGNER,3
CREATIVE - EKSTERNAL,PROJECT LEAD - CONTENT STRATEGIST,1
CREATIVE - EKSTERNAL,VIDEOGRAPHER,1
HRGA,SUPERVISOR HR,1
SALES,ADMIN SALES,1
SALES,CUSTOMER RELATION OFFICER,1
SALES,HEAD OF SALES JASA,1
SALES,SALES,1
SALES,SALES JASA,5
SALES,SENIOR SALES JASA,1
SKILSKUL,SPV SKILSKUL,1
