department,jabatan,count
ACCOUNT,ACCOUNT MANAGER,2
ACCOUNT,ADMIN A&S,1
ACCOUNT,ADMIN MARKETPLACE,2
ACCOUNT,ADVERTISER,2
ACCOUNT,ADVERTISER INTERN,1
ACCOUNT,CUSTOMER RELATION OFFICER,1
ACCOUNT,CUSTOMER RELATIONS OFFICER,2
ACCOUNT,HEAD OF ACCOUNT,1
ACCOUNT,INTERN KOL,2
ACCOUNT,KOL SPECIALIST,2
ACCOUNT,LEADER CUSTOMER RELATIONS OFFICER,1
ACCOUNT,MEDIOR CUSTOMER RELATION OFFICER,2
ACCOUNT,MEDIOR CUSTOMER RELATIONS OFFICER,1
ADVERTISER,ADVERTISER,2
ADVERTISER,ADVERTISER (SOCIAL MEDIA),1
ADVERTISER,ADVERTISER INTERN,1
ADVERTISER,MARKETPLACE ADVERTISER,1
ADVERTISER,SENIOR ADVERTISER,2
BUSINESS DEVELOPMENT,BUSINESS DEVELOPMENT INTERN,1
BUSINESS DEVELOPMENT,CONTENT CREATOR (PERSONAL BRANDING),1
BUSINESS DEVELOPMENT,MARKETING STRATEGIST,1
BUSINESS DEVELOPMENT,PUBLIC RELATION,1
BUSINESS DEVELOPMENT,SEO CONTENT WRITER,1
CREATIVE,ADMIN SOCIAL MEDIA INTERN,1
CREATIVE,ASSISTANT VIDEOGRAPHER,1
CREATIVE,CONTENT CREATOR,1
CREATIVE,GRAPHIC DESIGNER,1
CREATIVE,LEADER VIDEOGRAPHER,1
CREATIVE,SENIOR VIDEOGRAPHER,1
CREATIVE,SOCIAL MEDIA OFFICER,1
CREATIVE,VIDEOGRAPHER,2
CREATIVE,VIDEOGRAPHER FREELANCE,1
CREATIVE - EKSTERNAL,GRAPHIC DESIGNER,3
CREATIVE - EKSTERNAL,PROJECT LEAD - CONTENT STRATEGIST,1
CREATIVE - EKSTERNAL,VIDEOGRAPHER,2
DATA & BUSINESS INTELLIGENCE,DATA ANALYST,1
DATA & BUSINESS INTELLIGENCE,DATA ANALYST INTERN,2
DATA & BUSINESS INTELLIGENCE,SENIOR DATA ANALYST,1
FINANCE AND ACCOUNTING,ACCOUNTING INTERN,1
FINANCE AND ACCOUNTING,FINANCE AND ACCOUNTING,1
FINANCE AND ACCOUNTING,"SENIOR FINANCE, ACCOUNTING & TAX",1
GROWTH & BUSINESS CONSULTATION,BUSINESS CONSULTANT,1
HRGA,HR GENERALIST,1
HRGA,SUPERVISOR HR,1
HRGA,TALENT ACQUISITION & PEOPLE DEVELOPMENT,1
OD,JR ORGANIZATION DEVELOPMENT,1
OD,SENIOR ORGANIZATION DEVELOPMENT,1
SALES,ADMIN SALES,2
SALES,CONTENT CREATOR,1
SALES,CUSTOMER RELATION OFFICER,1
SALES,HEAD OF SALES JASA,1
SALES,SALES,1
SALES,SALES ASSISTANT,1
SALES,SALES JASA,5
SALES,SENIOR SALES JASA,1
SKILSKUL,CONTENT CREATOR INTERN,1
SKILSKUL,SALES ASSISTANT INTERN,1
SKILSKUL,SPV SKILSKUL,1
