department,jabatan,count
ACCOUNT,ACCOUNT MANAGER,2
ACCOUNT,ADMIN A&S,1
ACCOUNT,ADMIN MARKETPLACE,2
ACCOUNT,ADVERTISER,2
ACCOUNT,ADVERTISER INTERN,1
ACCOUNT,CUSTOMER RELATION OFFICER,1
ACCOUNT,CUSTOMER RELATIONS OFFICER,2
ACCOUNT,HEAD OF ACCOUNT,1
ACCOUNT,INTERN KOL,2
ACCOUNT,KOL SPECIALIST,2
ACCOUNT,LEADER CUSTOMER RELATIONS OFFICER,1
ACCOUNT,MEDIOR CUSTOMER RELATION OFFICER,2
ACCOUNT,MEDIOR CUSTOMER RELATIONS OFFICER,1
ADVERTISER,ADVERTISER,2
ADVERTISER,ADVERTISER (SOCIAL MEDIA),1
ADVERTISER,ADVERTISER INTERN,1
ADVERTISER,MARKETPLACE ADVERTISER,1
ADVERTISER,SENIOR ADVERTISER,2
AFFILIATE,AFFILIATE & BRAND SUPPORT,1
BUSINESS DEVELOPMENT,BUSINESS DEVELOPMENT INTERN,1
BUSINESS DEVELOPMENT,CONTENT CREATOR (PERSONAL BRANDING),2
BUSINESS DEVELOPMENT,MARKETING STRATEGIST,1
BUSINESS DEVELOPMENT,PUBLIC RELATION,1
BUSINESS DEVELOPMENT,SEO CONTENT WRITER,1
BUSINESS DEVELOPMENT,SOCIAL MEDIA OFFICER,1
CREATIVE,ADMIN SOCIAL MEDIA INTERN,1
CREATIVE,ASSISTANT VIDEOGRAPHER,1
CREATIVE,CONTENT CREATOR,1
CREATIVE,GRAPHIC DESIGNER,1
CREATIVE,LEADER VIDEOGRAPHER,1
CREATIVE,SENIOR VIDEOGRAPHER,1
CREATIVE,SOCIAL MEDIA OFFICER,1
CREATIVE,VIDEOGRAPHER,2
CREATIVE,VIDEOGRAPHER FREELANCE,1
CREATIVE - EKSTERNAL,GRAPHIC DESIGNER,3
CREATIVE - EKSTERNAL,PROJECT LEAD - CONTENT STRATEGIST,1
CREATIVE - EKSTERNAL,VIDEOGRAPHER,2
DATA & BUSINESS INTELLIGENCE,DATA ANALYST,1
DATA & BUSINESS INTELLIGENCE,DATA ANALYST INTERN,2
DATA & BUSINESS INTELLIGENCE,SENIOR DATA ANALYST,1
FINANCE AND ACCOUNTING,ACCOUNTING INTERN,1
FINANCE AND ACCOUNTING,FINANCE AND ACCOUNTING,1
FINANCE AND ACCOUNTING,"SENIOR FINANCE, ACCOUNTING & TAX",1
GROWTH & BUSINESS CONSULTATION,BUSINESS CONSULTANT,2
HRGA,DRIVER,1
HRGA,GENERAL AFFAIR,1
HRGA,HR GENERALIST,1
HRGA,HRGA,1
HRGA,SENIOR GENERAL AFFAIR,1
HRGA,SUPERVISOR HR,1
HRGA,TALENT ACQUISITION & EMPLOYER BRANDING,1
HRGA,TALENT ACQUISITION & PEOPLE DEVELOPMENT,1
IT,BUSINESS DEVELOPMENT LINKREATOR,2
IT,CONTENT CREATOR,1
IT,FULLSTACK INTERN,1
IT,GRAPHIC DESIGNER INTERN,1
IT,JUNIOR BACKEND DEVELOPER,1
IT,JUNIOR FRONTEND DEVELOPER,3
IT,JUNIOR FULLSTACK DEVELOPER,4
IT,JUNIOR QUALITY ASSURANCE,1
IT,JUNIOR UI/UX ANALYST,1
IT,MEDIOR BACKEND DEVELOPER,1
IT,MEDIOR DEVOPS ENGINEER,1
IT,MEDIOR FRONTEND DEVELOPER,2
IT,MEDIOR PRODUCT MANAGER,1
IT,MEDIOR QUALITY ASSURANCE,1
IT,MEDIOR UI/UX ANALYST,1
IT,QUALITY ASSURANCE,1
IT,QUALITY ASSURANCE ENGINEER JUNIOR,1
IT,SENIOR BACKEND DEVELOPER,1
MCN,AFFILIATE SUPPORT & BRAND PARTNERSHIP,1
MCN,AKUSISI - TIKTOK GO,1
MCN,CONTENT CREATOR INTERN,1
MCN,CREATOR AKUISISI,1
MCN,CREATOR MANAGER,11
MCN,CREATOR SUPPORT,3
MCN,CRO STAFF ABP,1
MCN,GRAPHIC DESIGNER,1
MCN,GRAPHIC DESIGNER INTERN,1
MCN,INTERN KOL,3
MCN,INTERN MCN,7
MCN,KOL & AFFILIATE SPECIALIST,2
MCN,KOL AFFILIATE BRAND PARTNERSHIP,1
