canonical_name,varian_ejaan (|| separated),platform_terlihat,jumlah_deal,harga_min,harga_median,harga_modus,harga_max,durasi_bulan_terlihat,contoh_tanggal_closing_terakhir,usulan_standard_price (KOSONGKAN — diisi Sales Head),usulan_commission_rule (KOSONGKAN — diisi Sales Head),catatan
Optimasi Rating 100x,Optimasi Rating 100x||Optimasi rating 100x||Optimasi Rating 100X,Shopee|TikTok|TikTok Shop|Tokopedia,290,375000,1300000,1300000,1800000,1|2|6,2026-06-29,,,"muncul di >1 platform: Shopee, TikTok, TikTok Shop, Tokopedia ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Optimasi Rating 100x || Optimasi Rating 100x TikTok || Jasa Optimasi Rating 100x CO || Optimasi Rating Shopee 100x || Optimasi rating 100x CO"
Jasa Iklan Traffic Marketplace Basic,Jasa Iklan Traffic Marketplace Basic||Jasa iklan traffic marketplace basic,Lazada|Shopee,210,1000000,10200000,10200000,36000000,1|2|3|4|5|6|7|8|12,2026-06-30,,,"muncul di >1 platform: Lazada, Shopee ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Traffic Marketplace Premium || Jasa iklan traffic Marketplace || Jasa Iklan Traffic Marketplace Performance"
Jasa Pengajuan Shopee Mall,Jasa Pengajuan Shopee Mall,Shopee,81,2500000,5500000,6000000,6000000,1,2026-06-29,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Pengajuan Tiktok Mall
Jasa Buka Toko Online Basic,Jasa Buka Toko Online Basic,Shopee|TikTok Shop,76,1800000,6000000,6000000,6000000,1,2026-05-06,,,"muncul di >1 platform: Shopee, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Buka Toko Online Shopee || Jasa Buka Tooko Online Premium || Jasa Buka Toko Online Pro"
Optimasi Rating 50x,Optimasi Rating 50x,Lazada|Shopee|TikTok|TikTok Shop,71,375000,750000,750000,850000,1,2026-06-29,,,"muncul di >1 platform: Lazada, Shopee, TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Optimasi Rating Shopee 50x"
GMV Max Mea Basic,GMV Max Mea Basic||GMV MAX MEA Basic||GMV Max MEA Basic,Shopee|TikTok|TikTok Shop,55,1500000,15000000,15000000,50400000,3|6|12,2026-06-23,,,"muncul di >1 platform: Shopee, TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV MAX MEA || Jasa GMV Max Basic || GMV Max Mea Premium || GMV Max Basic || GMV Max Mea Pro"
Tiktok Ads GBS (Free Kelola ads Tiktok),Tiktok Ads GBS (Free Kelola ads Tiktok),TikTok|TikTok Shop,51,1000000,1665000,1665000,20000000,1|3|6|7,2026-02-19,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads GBS (Free Kelola ads Tiktok) topup saldo iklan"
Jasa Iklan Shopee 10 SKU,Jasa Iklan Shopee 10 SKU,Shopee|TikTok Shop,48,100000,3599000,3599000,35000000,1|3|6|12,2026-06-28,,,"muncul di >1 platform: Shopee, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Shopee Maksimal 10 SKU || Jasa Iklan Shopee 3 SKU || Jasa Iklan Shopee Basic || Jasa Iklan Shopee"
Jasa Buka Toko Online Premium,Jasa Buka Toko Online Premium||Jasa Buka Tooko Online Premium,Shopee|TikTok|TikTok Shop|Tokopedia,36,1147000,10000000,10000000,10500000,1,2026-05-04,,,"digabung otomatis (typo/urutan kata) dari varian: Jasa Buka Tooko Online Premium ; muncul di >1 platform: Shopee, TikTok, TikTok Shop, Tokopedia ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Buka Toko Online Shopee || Jasa Buka Toko Online Basic || Jasa Buka Toko Online Pro"
Meta Ads CPAS x Shopee Premium,Meta Ads CPAS x Shopee Premium,Shopee,33,4950000,23100000,16500000,66000000,3|4|6|7,2026-01-22,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS x Shopee Pro || Meta Ads CPAS x Shopee Basic || Meta Ads CPAS Premium || Jasa Meta Ads CPAS x Shopee Premium || META Ads CPAS x Shopee
