divisi,jabatan,division,level
ACCOUNT,ACCOUNT MANAGER,Account,staff
ACCOUNT,ADMIN A&S,Account,staff
ACCOUNT,ADMIN MARKETPLACE,Account,staff
ACCOUNT,ADVERTISER,Account,staff
ACCOUNT,ADVERTISER INTERN,Account,staff
ACCOUNT,CUSTOMER RELATION OFFICER,Account,staff
ACCOUNT,CUSTOMER RELATIONS OFFICER,Account,staff
ACCOUNT,HEAD OF ACCOUNT,Account,lead
ACCOUNT,INTERN KOL,Account,staff
ACCOUNT,KOL SPECIALIST,Account,staff
ACCOUNT,LEADER CUSTOMER RELATIONS OFFICER,Account,lead
ACCOUNT,MEDIOR CUSTOMER RELATION OFFICER,Account,staff
ACCOUNT,MEDIOR CUSTOMER RELATIONS OFFICER,Account,staff
ADVERTISER,ADVERTISER,Ads,staff
ADVERTISER,ADVERTISER (SOCIAL MEDIA),Ads,staff
ADVERTISER,ADVERTISER INTERN,Ads,staff
ADVERTISER,MARKETPLACE ADVERTISER,Ads,staff
ADVERTISER,SENIOR ADVERTISER,Ads,staff
AFFILIATE,AFFILIATE & BRAND SUPPORT,KOL,staff
BUSINESS DEVELOPMENT,MARKETING STRATEGIST,Sales,staff
CREATIVE,ADMIN SOCIAL MEDIA INTERN,Creative,staff
CREATIVE,ASSISTANT VIDEOGRAPHER,Creative,staff
CREATIVE,CONTENT CREATOR,Creative,staff
CREATIVE,GRAPHIC DESIGNER,Creative,staff
CREATIVE,LEADER VIDEOGRAPHER,Creative,lead
CREATIVE,SENIOR VIDEOGRAPHER,Creative,staff
CREATIVE,SOCIAL MEDIA OFFICER,Creative,staff
CREATIVE,VIDEOGRAPHER,Creative,staff
CREATIVE,VIDEOGRAPHER FREELANCE,Creative,staff
FINANCE AND ACCOUNTING,ACCOUNTING INTERN,Finance,staff
FINANCE AND ACCOUNTING,FINANCE AND ACCOUNTING,Finance,staff
FINANCE AND ACCOUNTING,"SENIOR FINANCE, ACCOUNTING & TAX",Finance,staff
GROWTH & BUSINESS CONSULTATION,BUSINESS CONSULTANT,Account,staff
SALES,ADMIN SALES,Sales,staff
SALES,CONTENT CREATOR,Sales,staff
SALES,CRO MENTOR TIKTOK,Sales,staff
SALES,CUSTOMER RELATION OFFICER,Sales,staff
SALES,HEAD OF SALES JASA,Sales,lead
SALES,SALES,Sales,staff
SALES,SALES ASSISTANT,Sales,staff
SALES,SALES JASA,Sales,staff
SALES,SENIOR SALES JASA,Sales,staff
